seq,anchorId,range,rssi,sec,nsec
79,1,2009,-87.84504971660542,142,668000000
79,3,4987,-88.82572732296421,142,679000000
80,0,5612,-88.831574083446,142,759000000
80,1,1999,-88.30648294150383,142,763000000
80,3,4998,-88.56180702156618,142,764000000
81,0,5609,-87.89803322043011,142,860000000
81,1,2028,-88.1046944871659,142,871000000
81,3,4959,-88.25766247763056,142,873000000
82,0,5623,-89.20092054390337,142,960000000
82,1,2007,-88.18785951414382,142,970000000
82,3,5012,-88.45059974016756,142,974000000
83,0,5658,-88.51305258865442,143,60000000
83,1,2006,-87.80112798064305,143,64000000
83,3,4958,-87.8510198422622,143,74000000
84,0,5601,-88.78810913482545,143,160000000
84,1,1991,-87.87247984999297,143,168000000
84,3,5014,-88.15478800871193,143,170000000
85,0,5588,-88.13116288639725,143,260000000
85,1,1979,-87.5974679089634,143,270000000
85,3,5004,-87.82048686217712,143,273000000
86,0,5602,-88.36355284430323,143,360000000
86,1,2005,-87.353929625943,143,363000000
86,3,5029,-87.5213004181417,143,374000000
87,0,5603,-89.36170124037848,143,460000000
87,1,2010,-87.52646850270409,143,463000000
87,3,5045,-88.1671194177981,143,466000000
88,0,5600,-88.7849954585498,143,560000000
88,1,2022,-88.73351724346527,143,574000000
88,3,5046,-88.3625002244648,143,579000000
89,0,5601,-88.13408709448181,143,660000000
89,1,1964,-87.99953000011259,143,676000000
89,3,5184,-89.01567351832695,143,680000000
90,0,5634,-88.11989327347138,143,760000000
90,1,1995,-87.98683057870096,143,764000000
90,3,5155,-88.54678370397612,143,774000000
91,0,5564,-89.01237005545157,143,859000000
91,1,1997,-88.85121648297591,143,866000000
91,3,5169,-88.26233401571287,143,877000000
92,0,5614,-88.5486861006662,143,960000000
92,1,2004,-87.76349857598115,143,961000000
92,3,5211,-87.70893325367895,143,973000000
93,0,5630,-88.63417304893878,144,60000000
93,1,1949,-88.0612349926581,144,63000000
93,3,5257,-88.14210170403497,144,66000000
94,0,5627,-88.51534320745841,144,160000000
94,1,1973,-88.1996943459819,144,168000000
94,3,5223,-88.79296326180673,144,175000000
95,0,5634,-88.56275657999636,144,260000000
95,1,1991,-87.54939214832942,144,262000000
95,3,5091,-88.65571529099938,144,275000000
96,0,5641,-87.99585062845401,144,360000000
96,1,1997,-88.7871711279787,144,362000000
96,3,5095,-87.81312631443818,144,372000000
97,0,5604,-88.75741849128717,144,460000000
97,1,1970,-88.77933995156918,144,467000000
97,3,5132,-88.43917149440892,144,470000000
98,0,5487,-88.2572191510057,144,559000000
98,1,1965,-88.18257892839773,144,569000000
98,3,5153,-88.27556548243543,144,584000000
99,0,5469,-88.19237246204814,144,660000000
